,date,title,summary
0,2020.11.10.,[사설] 美 안보라인 매파 부상 깜짝쇼식 북핵 해법 미련 버려라,"특히 새 안보라인에 대북 강경 노선의 매파 인사들이 부상하면서 지난 4년간 도널드 트럼프 행정부가 보여준... 특히 바이든 시대에는 트럼프 행정부의 정상 간 '톱다운' 방식 대신, 실무회담 후 정상 간 합의가 이뤄지는..."
1,2020.11.10.,"[World & Now] 바이든 ""韓日, 손잡으라"" 요구해온다면",다만 강 건너 불구경하듯 지켜보던 도널드 트럼프 대통령에 비해서는 한일 간 협력을 더욱 강조할 것으로 보인다. 대중 전략의 최전선에 있는 한국과 일본 두 동맹국의 갈등은 득이 될 것이 없어서다. 바이든 시대에 2015년...
2,2020.11.10.,[매경춘추] 바이든 꼭 성공하시라,도널드 트럼프 대통령이 승복하지 않고 있지만 공화당 주류를 대변하는 폭스뉴스 등이 대세로 받아들이고 있어 오래 버티긴 어려워 보인다. 이번 선거는 4년 전에 이어 기득권화된 미 주류 정치세력에 대한 이단아 트럼프...
3,2020.11.10.,"바이든, 중국 반도체 전쟁 계속한다… 추가 견제 가능성도",워싱턴포스트는 “바이든 역시 트럼프와 마찬가지로 중국이 지식재산을 훔쳤다고 비난하면서 중국과의... 앞서 도널드 트럼프 전 대통령은 미국 기술·장비를 활용해 만든 반도체가 화웨이로 향하지 못하도록 강도 높은...
4,2020.11.10.,[글로벌포커스] 바이든 시대에도 계속될 `중국 때리기`,"눈에 띄는 것은 4년 전 도널드 트럼프 당선에 기여했던 펜실베이니아, 미시간 등 러스트벨트가 바이든... 대중 압박은 트럼프가 추진한 모든 정책 중에서 유일하게 의회, 업계, 노동자 등 각계각층의 초당적 지지를 얻은..."
5,2020.11.10.,美 의회에서 발휘될 바이든의 정치력,"도널드 트럼프 대통령은 패배를 인정하지 않았고, 트럼프 캠프는 선거 결과를 놓고 곧바로 법정투쟁으로 갈 뜻을 분명히 했다. 상원을 어느 당이 지배할지도 노스캐롤라이나, 알래스카, 조지아주의 결과가 나와봐야 알..."
6,2020.11.10.,[사설] 커지는 '환율경고음'…대내외 정책역량 총동원할 때다,여기에 조 바이든 행정부가 들어서면 트럼프 정부 때보다 더 과감한 경기부양책을 추진할 것이라는 전망이... 트럼프 대통령은 북한과의 관계 개선 등 정략적 이유로 한국에 환율카드를 직접 들이대지 않았지만 바이든은...
7,2020.11.10.,美 대북 강경·유화 갈림길… ‘북미 중재자’ 한국 목소리 커진다,특히 도널드 트럼프 대통령의 재선 실패로 북측 수뇌부의 불안감이 어느 때보다 큰 상황에서 ‘한미 간... 맞물린 트럼프 대통령의 정책을 뒤집는 ABT(Anything But Trump·트럼프 정책은 제외) 기조에 따라 대화 문턱을 높일...
8,2020.11.10.,[이슈 프리즘] 카멀라 해리스와 '가능성의 나라',"4년 전 트럼프 대통령이 당선됐다. 승리를 선언하는 무대에 펜스 부통령이 먼저 올랐다. 그는 신과 가족, 미국인들에게 감사 인사를 전하고 트럼프의 리더십을 언급한 뒤, 곧장 트럼프에게 마이크를 넘겼다. 자신을..."
9,2020.11.10.,[천자 칼럼] '메이플라워 서약' 400년,도널드 트럼프 대통령은 독일 이민 3세임에도 반(反)이민 정책을 폈다. 이번 대선에서는 유례없는 분열과 갈등을 빚기도 했다. 마침 바이든 당선인이 첫 연설에서 “이제 다시 서로에게 귀를 기울일 시간”이라며...
10,2020.11.10.,"[World & Now] 바이든 ""韓日, 손잡으라"" 요구해온다면",다만 강 건너 불구경하듯 지켜보던 도널드 트럼프 대통령에 비해서는 한일 간 협력을 더욱 강조할 것으로 보인다. 대중 전략의 최전선에 있는 한국과 일본 두 동맹국의 갈등은 득이 될 것이 없어서다. 바이든 시대에 2015년...
11,2020.11.10.,[사설] 美 안보라인 매파 부상 깜짝쇼식 북핵 해법 미련 버려라,"특히 새 안보라인에 대북 강경 노선의 매파 인사들이 부상하면서 지난 4년간 도널드 트럼프 행정부가 보여준... 특히 바이든 시대에는 트럼프 행정부의 정상 간 '톱다운' 방식 대신, 실무회담 후 정상 간 합의가 이뤄지는..."
12,2020.11.10.,"바이든, 중국 반도체 전쟁 계속한다… 추가 견제 가능성도",워싱턴포스트는 “바이든 역시 트럼프와 마찬가지로 중국이 지식재산을 훔쳤다고 비난하면서 중국과의... 앞서 도널드 트럼프 전 대통령은 미국 기술·장비를 활용해 만든 반도체가 화웨이로 향하지 못하도록 강도 높은...
13,2020.11.10.,[매경춘추] 바이든 꼭 성공하시라,도널드 트럼프 대통령이 승복하지 않고 있지만 공화당 주류를 대변하는 폭스뉴스 등이 대세로 받아들이고 있어 오래 버티긴 어려워 보인다. 이번 선거는 4년 전에 이어 기득권화된 미 주류 정치세력에 대한 이단아 트럼프...
14,2020.11.10.,[글로벌포커스] 바이든 시대에도 계속될 `중국 때리기`,"눈에 띄는 것은 4년 전 도널드 트럼프 당선에 기여했던 펜실베이니아, 미시간 등 러스트벨트가 바이든... 대중 압박은 트럼프가 추진한 모든 정책 중에서 유일하게 의회, 업계, 노동자 등 각계각층의 초당적 지지를 얻은..."
15,2020.11.10.,[사설] 커지는 '환율경고음'…대내외 정책역량 총동원할 때다,여기에 조 바이든 행정부가 들어서면 트럼프 정부 때보다 더 과감한 경기부양책을 추진할 것이라는 전망이... 트럼프 대통령은 북한과의 관계 개선 등 정략적 이유로 한국에 환율카드를 직접 들이대지 않았지만 바이든은...
16,2020.11.10.,美 의회에서 발휘될 바이든의 정치력,"도널드 트럼프 대통령은 패배를 인정하지 않았고, 트럼프 캠프는 선거 결과를 놓고 곧바로 법정투쟁으로 갈 뜻을 분명히 했다. 상원을 어느 당이 지배할지도 노스캐롤라이나, 알래스카, 조지아주의 결과가 나와봐야 알..."
17,2020.11.10.,美 대북 강경·유화 갈림길… ‘북미 중재자’ 한국 목소리 커진다,특히 도널드 트럼프 대통령의 재선 실패로 북측 수뇌부의 불안감이 어느 때보다 큰 상황에서 ‘한미 간... 맞물린 트럼프 대통령의 정책을 뒤집는 ABT(Anything But Trump·트럼프 정책은 제외) 기조에 따라 대화 문턱을 높일...
18,2020.11.10.,[천자 칼럼] '메이플라워 서약' 400년,도널드 트럼프 대통령은 독일 이민 3세임에도 반(反)이민 정책을 폈다. 이번 대선에서는 유례없는 분열과 갈등을 빚기도 했다. 마침 바이든 당선인이 첫 연설에서 “이제 다시 서로에게 귀를 기울일 시간”이라며...
19,2020.11.10.,[이슈 프리즘] 카멀라 해리스와 '가능성의 나라',"4년 전 트럼프 대통령이 당선됐다. 승리를 선언하는 무대에 펜스 부통령이 먼저 올랐다. 그는 신과 가족, 미국인들에게 감사 인사를 전하고 트럼프의 리더십을 언급한 뒤, 곧장 트럼프에게 마이크를 넘겼다. 자신을..."
20,2020.11.10.,[사설] 美 안보라인 매파 부상 깜짝쇼식 북핵 해법 미련 버려라,"특히 새 안보라인에 대북 강경 노선의 매파 인사들이 부상하면서 지난 4년간 도널드 트럼프 행정부가 보여준... 특히 바이든 시대에는 트럼프 행정부의 정상 간 '톱다운' 방식 대신, 실무회담 후 정상 간 합의가 이뤄지는..."
21,2020.11.10.,"[World & Now] 바이든 ""韓日, 손잡으라"" 요구해온다면",다만 강 건너 불구경하듯 지켜보던 도널드 트럼프 대통령에 비해서는 한일 간 협력을 더욱 강조할 것으로 보인다. 대중 전략의 최전선에 있는 한국과 일본 두 동맹국의 갈등은 득이 될 것이 없어서다. 바이든 시대에 2015년...
22,2020.11.10.,"바이든, 중국 반도체 전쟁 계속한다… 추가 견제 가능성도",워싱턴포스트는 “바이든 역시 트럼프와 마찬가지로 중국이 지식재산을 훔쳤다고 비난하면서 중국과의... 앞서 도널드 트럼프 전 대통령은 미국 기술·장비를 활용해 만든 반도체가 화웨이로 향하지 못하도록 강도 높은...
23,2020.11.10.,[매경춘추] 바이든 꼭 성공하시라,도널드 트럼프 대통령이 승복하지 않고 있지만 공화당 주류를 대변하는 폭스뉴스 등이 대세로 받아들이고 있어 오래 버티긴 어려워 보인다. 이번 선거는 4년 전에 이어 기득권화된 미 주류 정치세력에 대한 이단아 트럼프...
24,2020.11.10.,[글로벌포커스] 바이든 시대에도 계속될 `중국 때리기`,"눈에 띄는 것은 4년 전 도널드 트럼프 당선에 기여했던 펜실베이니아, 미시간 등 러스트벨트가 바이든... 대중 압박은 트럼프가 추진한 모든 정책 중에서 유일하게 의회, 업계, 노동자 등 각계각층의 초당적 지지를 얻은..."
