,날짜,파실 때,보내실 때,받으실 때
0,2023-05-26,75.51,0.85,+1.13%
1,2023-05-25,74.66,2.12,-2.76%
2,2023-05-24,76.78,1.56,+2.07%
3,2023-05-23,74.99,0.22,+0.29%
4,2023-05-22,74.77,0.16,+0.21%
5,2023-05-19,74.61,0.15,-0.19%
6,2023-05-18,74.76,0.43,-0.56%
0,2023-05-17,75.18,0.76,+1.02%
1,2023-05-16,74.42,0.12,-0.16%
2,2023-05-15,74.54,0.53,+0.71%
3,2023-05-12,74.01,0.73,-0.97%
4,2023-05-11,74.74,0.9,-1.18%
5,2023-05-10,75.64,0.91,-1.18%
6,2023-05-09,76.55,0.3,+0.38%
0,2023-05-08,76.25,1.38,+1.83%
1,2023-05-05,74.88,2.37,+3.27%
2,2023-05-04,72.5,0.23,+0.31%
3,2023-05-03,72.28,2.74,-3.64%
4,2023-05-02,75.01,4.23,-5.33%
5,2023-05-01,79.24,1.02,-1.26%
6,2023-04-28,80.26,2.78,+3.58%
0,2023-04-27,77.48,0.73,+0.95%
1,2023-04-26,76.75,3.21,-4.01%
2,2023-04-25,79.95,1.86,-2.27%
3,2023-04-24,81.81,0.99,+1.22%
4,2023-04-21,80.82,0.82,+1.01%
5,2023-04-20,83.55,0.81,-0.96%
6,2023-04-19,84.36,0.64,-0.74%
0,2023-04-18,85.0,0.05,+0.05%
1,2023-04-17,84.95,0.69,-0.80%
2,2023-04-14,85.64,0.03,+0.03%
3,2023-04-13,85.61,0.73,-0.85%
4,2023-04-12,86.35,1.16,+1.36%
5,2023-04-11,85.19,0.91,+1.08%
6,2023-04-10,84.28,0.71,-0.83%
0,2023-04-07,84.99,0.0,0.00%
1,2023-04-06,84.99,0.39,+0.46%
2,2023-04-05,84.59,0.12,+0.14%
3,2023-04-04,84.47,0.22,-0.25%
4,2023-04-03,84.69,5.3,+6.67%
5,2023-03-31,79.39,1.62,+2.08%
6,2023-03-30,77.77,1.0,+1.29%
0,2023-03-29,76.77,0.54,-0.69%
1,2023-03-28,77.31,0.17,+0.21%
2,2023-03-27,77.14,3.04,+4.10%
3,2023-03-24,74.1,1.07,-1.42%
4,2023-03-23,78.13,0.22,-0.27%
5,2023-03-22,78.35,0.38,+0.48%
6,2023-03-21,77.97,0.6,+0.78%
0,2023-03-20,77.37,0.23,+0.29%
1,2023-03-17,77.14,0.71,-0.91%
2,2023-03-16,77.85,0.59,+0.77%
3,2023-03-15,77.25,1.95,-2.45%
4,2023-03-14,79.2,1.81,-2.23%
5,2023-03-13,81.01,1.15,-1.39%
6,2023-03-10,82.16,0.92,+1.13%
0,2023-03-09,81.24,0.74,-0.89%
1,2023-03-08,81.97,0.1,-0.11%
2,2023-03-07,82.07,2.33,-2.75%
3,2023-03-06,84.4,0.09,+0.10%
4,2023-03-03,84.31,1.25,+1.50%
5,2023-03-02,83.06,0.71,+0.86%
6,2023-03-01,82.34,0.92,+1.12%
0,2023-02-28,81.43,1.17,+1.45%
1,2023-02-27,80.26,0.94,-1.15%
2,2023-02-24,81.2,1.14,+1.42%
3,2023-02-23,80.06,1.67,+2.13%
4,2023-02-22,78.38,2.11,-2.61%
5,2023-02-21,80.49,0.16,+0.19%
6,2023-02-17,82.07,0.76,-0.91%
0,2023-02-16,82.83,0.12,-0.14%
1,2023-02-15,82.95,0.1,-0.11%
2,2023-02-14,83.05,0.47,-0.56%
3,2023-02-13,83.52,0.36,+0.43%
4,2023-02-10,83.15,1.29,+1.57%
5,2023-02-09,81.86,0.3,-0.37%
6,2023-02-08,82.17,0.98,+1.20%
0,2023-02-07,81.19,2.21,+2.80%
1,2023-02-06,78.97,0.88,+1.12%
2,2023-02-03,78.1,1.98,-2.46%
3,2023-02-02,80.07,0.25,-0.31%
4,2023-02-01,80.32,2.03,-2.46%
5,2023-01-31,82.35,1.19,+1.46%
6,2023-01-30,81.16,2.0,-2.40%
0,2023-01-27,83.16,0.85,-1.01%
1,2023-01-26,84.02,1.0,+1.20%
2,2023-01-25,83.02,0.1,-0.12%
3,2023-01-24,83.12,1.77,-2.08%
4,2023-01-23,81.07,0.07,+0.08%
5,2023-01-20,81.0,0.51,+0.62%
6,2023-01-19,80.49,0.3,+0.37%
0,2023-01-18,80.19,0.47,-0.58%
1,2023-01-17,80.66,0.64,+0.80%
2,2023-01-13,80.02,0.63,+0.79%
3,2023-01-12,79.39,0.71,+0.89%
4,2023-01-11,78.68,1.61,+2.09%
5,2023-01-10,77.06,0.64,+0.83%
6,2023-01-09,76.43,1.03,+1.36%
0,2023-01-06,75.4,0.06,-0.08%
1,2023-01-05,75.46,0.77,+1.02%
2,2023-01-04,74.69,3.22,-4.13%
3,2023-01-03,77.91,3.15,-3.88%
4,2022-12-30,81.06,2.38,+3.02%
5,2022-12-29,78.68,0.78,-0.97%
6,2022-12-28,79.45,0.84,-1.04%
0,2022-12-27,80.29,0.18,+0.22%
1,2022-12-23,80.11,2.83,+3.65%
2,2022-12-22,76.87,0.23,-0.29%
3,2022-12-21,77.1,0.69,+0.90%
4,2022-12-20,76.4,0.1,+0.12%
5,2022-12-19,76.31,0.42,+0.55%
6,2022-12-16,75.89,1.01,-1.31%
0,2022-12-15,76.9,0.77,-0.98%
1,2022-12-14,77.67,1.04,+1.36%
2,2022-12-13,76.62,1.49,+1.98%
3,2022-12-12,75.13,1.42,+1.92%
4,2022-12-09,73.71,0.25,+0.34%
5,2022-12-08,73.45,0.42,-0.57%
6,2022-12-07,73.88,1.24,-1.65%
0,2022-12-06,75.12,2.4,-3.09%
1,2022-12-05,77.52,2.58,-3.21%
2,2022-12-02,80.1,0.84,-1.04%
3,2022-12-01,80.94,0.48,+0.59%
4,2022-11-30,80.47,3.25,+4.21%
5,2022-11-29,77.21,0.29,+0.37%
6,2022-11-28,76.93,0.73,+0.96%
